"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	19:33:42	 		"Time         "	19:33:42	 
"X Scale      "	2.00E-04	 		"X Scale      "	2.00E-04	 
"X At 0%      "	4.87E-04	 		"X At 0%      "	4.87E-04	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"200 us/Div"	 		"X Label      "	"200 us/Div"	 
"Y Scale      "	1.00E-01	 		"Y Scale      "	1.00E+00	 
"Y At 50%     "	-4.00E-01	 		"Y At 50%     "	1.68E+00	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"mV"	 		"Y Label      "	"V"	 

4.87E-04	-3.2E-02	-2.0E-02		4.87E-04	6.8E-01	7.6E-01
4.95E-04	-3.6E-02	-2.4E-02		4.95E-04	6.0E-01	7.2E-01
5.03E-04	-3.2E-02	-2.4E-02		5.03E-04	6.4E-01	7.2E-01
5.11E-04	-2.8E-02	-2.4E-02		5.11E-04	6.4E-01	7.2E-01
5.19E-04	-2.8E-02	-2.0E-02		5.19E-04	6.4E-01	6.8E-01
5.27E-04	-2.8E-02	-2.0E-02		5.27E-04	6.8E-01	7.6E-01
5.35E-04	-3.2E-02	-2.0E-02		5.35E-04	6.0E-01	7.2E-01
5.43E-04	-2.4E-02	-1.6E-02		5.43E-04	6.0E-01	6.8E-01
5.51E-04	-2.8E-02	-1.6E-02		5.51E-04	6.8E-01	7.6E-01
5.59E-04	-2.8E-02	-2.0E-02		5.59E-04	6.4E-01	7.2E-01
5.67E-04	-2.4E-02	-2.0E-02		5.67E-04	6.0E-01	7.2E-01
5.75E-04	-2.8E-02	-1.6E-02		5.75E-04	6.8E-01	7.6E-01
5.83E-04	-2.4E-02	-1.6E-02		5.83E-04	6.4E-01	7.2E-01
5.91E-04	-3.2E-02	-2.0E-02		5.91E-04	6.4E-01	7.2E-01
5.99E-04	-3.6E-02	-2.0E-02		5.99E-04	6.0E-01	7.2E-01
6.07E-04	-2.8E-02	-2.0E-02		6.07E-04	6.8E-01	7.6E-01
6.15E-04	-2.8E-02	-2.0E-02		6.15E-04	6.4E-01	7.6E-01
6.23E-04	-2.8E-02	-1.6E-02		6.23E-04	6.4E-01	7.2E-01
6.31E-04	-2.4E-02	-1.6E-02		6.31E-04	6.4E-01	7.2E-01
6.39E-04	-2.8E-02	-1.6E-02		6.39E-04	6.8E-01	7.6E-01
6.47E-04	-2.8E-02	-2.4E-02		6.47E-04	6.4E-01	7.6E-01
6.55E-04	-2.8E-02	-1.6E-02		6.55E-04	6.4E-01	7.2E-01
6.63E-04	-2.8E-02	-2.0E-02		6.63E-04	6.4E-01	7.6E-01
6.71E-04	-3.2E-02	-2.0E-02		6.71E-04	6.4E-01	7.6E-01
6.79E-04	-3.2E-02	-2.0E-02		6.79E-04	6.4E-01	7.6E-01
6.87E-04	-3.2E-02	-1.6E-02		6.87E-04	6.8E-01	7.6E-01
6.95E-04	-2.8E-02	-2.0E-02		6.95E-04	6.0E-01	7.2E-01
7.03E-04	-2.8E-02	-1.2E-02		7.03E-04	6.8E-01	7.6E-01
7.11E-04	-2.4E-02	-1.2E-02		7.11E-04	6.0E-01	7.2E-01
7.19E-04	-2.8E-02	-2.0E-02		7.19E-04	6.8E-01	7.2E-01
7.27E-04	-2.8E-02	-2.0E-02		7.27E-04	5.6E-01	7.2E-01
7.35E-04	-2.4E-02	-2.0E-02		7.35E-04	6.4E-01	7.2E-01
7.43E-04	-2.4E-02	-2.0E-02		7.43E-04	6.8E-01	7.6E-01
7.51E-04	-2.8E-02	-2.0E-02		7.51E-04	6.4E-01	7.2E-01
7.59E-04	-2.4E-02	-2.0E-02		7.59E-04	7.2E-01	8.0E-01
7.67E-04	-2.4E-02	-2.0E-02		7.67E-04	6.8E-01	7.6E-01
7.75E-04	-2.8E-02	-2.0E-02		7.75E-04	6.8E-01	7.2E-01
7.83E-04	-2.0E-02	-1.2E-02		7.83E-04	6.4E-01	7.6E-01
7.91E-04	-2.8E-02	-2.0E-02		7.91E-04	6.4E-01	7.2E-01
