"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	22:58:12	 		"Time         "	22:58:12	 
"X Scale      "	2.00E-04	 		"X Scale      "	2.00E-04	 
"X At 0%      "	-2.393E-03	 		"X At 0%      "	-2.393E-03	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"200 us/Div"	 		"X Label      "	"200 us/Div"	 
"Y Scale      "	1.00E-01	 		"Y Scale      "	1.00E+00	 
"Y At 50%     "	-4.00E-01	 		"Y At 50%     "	1.68E+00	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"mV"	 		"Y Label      "	"V"	 

-1.145E-03	-4.4E-02	-3.2E-02		-1.145E-03	5.2E-01	6.0E-01
-1.137E-03	-4.0E-02	-2.8E-02		-1.137E-03	6.0E-01	6.8E-01
-1.129E-03	-4.0E-02	-2.8E-02		-1.129E-03	5.6E-01	6.4E-01
-1.121E-03	-3.2E-02	-2.4E-02		-1.121E-03	5.6E-01	6.4E-01
-1.113E-03	-3.6E-02	-2.8E-02		-1.113E-03	5.6E-01	6.4E-01
-1.105E-03	-3.2E-02	-2.8E-02		-1.105E-03	5.2E-01	6.0E-01
-1.097E-03	-3.6E-02	-2.8E-02		-1.097E-03	5.2E-01	6.8E-01
-1.089E-03	-3.2E-02	-2.4E-02		-1.089E-03	5.6E-01	6.8E-01
-1.081E-03	-3.2E-02	-2.8E-02		-1.081E-03	5.2E-01	6.4E-01
-1.073E-03	-2.8E-02	-2.4E-02		-1.073E-03	5.6E-01	6.8E-01
-1.065E-03	-3.2E-02	-2.0E-02		-1.065E-03	5.6E-01	6.4E-01
-1.057E-03	-2.8E-02	-2.0E-02		-1.057E-03	5.6E-01	6.0E-01
-1.049E-03	-3.2E-02	-2.4E-02		-1.049E-03	5.2E-01	6.0E-01
-1.041E-03	-3.2E-02	-2.4E-02		-1.041E-03	5.6E-01	6.8E-01
-1.033E-03	-3.2E-02	-1.6E-02		-1.033E-03	5.2E-01	6.4E-01
-1.025E-03	-2.8E-02	-2.0E-02		-1.025E-03	4.8E-01	6.0E-01
-1.017E-03	-3.2E-02	-2.4E-02		-1.017E-03	6.0E-01	6.8E-01
-1.009E-03	-2.8E-02	-2.0E-02		-1.009E-03	5.2E-01	6.8E-01
-1.001E-03	-3.6E-02	-2.8E-02		-1.001E-03	5.2E-01	6.4E-01
-9.93E-04	-2.8E-02	-2.0E-02		-9.93E-04	5.2E-01	6.0E-01
-9.85E-04	-2.8E-02	-2.0E-02		-9.85E-04	5.6E-01	6.4E-01
-9.77E-04	-3.2E-02	-2.4E-02		-9.77E-04	5.6E-01	6.4E-01
-9.69E-04	-2.8E-02	-2.0E-02		-9.69E-04	5.2E-01	6.4E-01
-9.61E-04	-3.2E-02	-2.4E-02		-9.61E-04	4.4E-01	6.4E-01
-9.53E-04	-2.8E-02	-2.0E-02		-9.53E-04	5.2E-01	6.0E-01
-9.45E-04	-2.8E-02	-2.0E-02		-9.45E-04	5.2E-01	6.4E-01
-9.37E-04	-2.8E-02	-2.0E-02		-9.37E-04	5.2E-01	6.4E-01
-9.29E-04	-2.8E-02	-2.4E-02		-9.29E-04	5.2E-01	6.4E-01
-9.21E-04	-2.8E-02	-2.0E-02		-9.21E-04	4.8E-01	6.0E-01
-9.13E-04	-3.2E-02	-2.4E-02		-9.13E-04	5.2E-01	6.4E-01
-9.05E-04	-3.2E-02	-2.4E-02		-9.05E-04	5.6E-01	6.8E-01
-8.97E-04	-2.8E-02	-2.0E-02		-8.97E-04	5.6E-01	6.8E-01
-8.89E-04	-2.8E-02	-2.0E-02		-8.89E-04	4.8E-01	5.6E-01
-8.81E-04	-2.8E-02	-2.0E-02		-8.81E-04	5.6E-01	6.0E-01
-8.73E-04	-2.8E-02	-2.0E-02		-8.73E-04	6.0E-01	6.8E-01
-8.65E-04	-2.8E-02	-2.4E-02		-8.65E-04	5.2E-01	6.0E-01
-8.57E-04	-2.4E-02	-2.0E-02		-8.57E-04	4.8E-01	6.4E-01
-8.49E-04	-2.8E-02	-2.0E-02		-8.49E-04	5.6E-01	6.4E-01
-8.41E-04	-2.8E-02	-2.0E-02		-8.41E-04	5.2E-01	6.0E-01
