0,000000	0,000000
0,000000	0,000000
0,031250	0,000000
0,031250	0,000000
0,046875	0,000000
0,046875	0,000000
0,062500	0,000000
0,062500	0,000000
0,078125	0,000000
0,078125	0,000000
0,093750	0,000000
0,093750	0,000000
0,109375	0,000000
0,125000	0,000000
0,140625	0,000000
0,140625	0,000000
0,156250	0,000000
0,156250	0,000000
0,171875	0,000000
0,187500	0,000000
0,203125	0,000000
0,203125	0,000000
0,218750	0,000000
0,218750	0,000000
0,234375	0,000000
0,234375	0,000000
0,250000	0,000000
0,265625	0,000000
0,281250	0,000000
0,281250	0,000000
0,296875	0,000000
0,296875	0,000000
0,312500	0,000000
0,328125	0,000000
0,328125	0,000000
0,343750	0,000000
0,359375	0,000000
0,359375	0,000000
0,375000	0,000000
0,375000	0,000000
0,390625	0,000000
0,406250	0,000000
0,421875	0,000000
0,421875	0,000000
0,437500	0,000000
0,437500	0,000000
0,453125	0,000000
0,453125	0,000000
0,468750	0,000000
0,484375	0,000000
0,500000	0,000000
0,500000	0,000000
0,515625	0,000000
0,515625	0,000000
0,531250	0,000000
0,546875	0,000000
0,562500	0,000000
0,562500	0,000000
0,578125	0,000000
0,578125	0,000000
0,593750	0,000000
0,609375	0,000000
0,609375	0,000000
0,625000	0,000000
0,640625	0,000000
0,640625	0,000000
0,656250	0,000000
0,656250	0,000000
0,671875	0,000000
0,687500	0,000000
0,703125	0,000000
0,703125	0,000000
0,718750	0,000000
0,718750	0,000000
0,734375	0,000000
0,734375	0,000000
0,750000	0,000000
0,765625	0,000000
0,781250	0,000000
0,781250	0,000000
0,796875	0,000000
0,796875	0,000000
0,812500	0,000000
0,828125	0,000000
0,828125	0,000000
0,843750	0,000000
0,859375	0,000000
0,859375	0,000000
0,875000	0,000000
0,875000	0,000000
0,890625	0,000000
0,906250	0,000000
0,921875	0,000000
0,921875	0,000000
0,937500	0,000000
0,937500	0,000000
0,953125	0,000000
0,953125	0,000000
0,968750	0,000000
0,984375	0,000000
1,000000	0,000000
1,000000	0,000000
1,015625	0,000000
1,015625	0,000000
1,031250	0,000000
1,046875	0,000000
1,062500	0,000000
1,062500	0,000000
1,078125	0,000000
1,078125	0,000000
1,093750	0,000000
1,093750	0,000000
1,109375	0,000000
1,125000	0,000000
1,140625	0,000000
1,140625	0,000000
1,156250	0,000000
1,156250	0,000000
1,171875	0,000000
1,187500	0,000000
1,203125	0,000000
1,203125	0,000000
1,218750	0,000000
1,218750	0,000000
1,234375	0,000000
1,234375	0,000000
1,250000	0,000000
1,265625	0,000000
1,281250	0,000000
1,281250	0,000000
1,296875	0,000000
1,296875	0,000000
1,312500	0,000000
1,312500	0,000000
1,343750	0,000000
1,343750	0,000000
1,359375	0,000000
1,359375	0,000000
1,375000	0,000000
1,375000	0,000000
1,390625	0,000000
1,406250	0,000000
1,421875	0,000000
1,421875	0,000000
1,437500	0,000000
1,437500	0,000000
1,453125	0,000000
1,453125	0,000000
1,484375	0,000000
1,484375	0,000000
1,500000	0,000000
1,500000	0,000000
1,515625	0,000000
1,515625	0,000000
1,531250	0,000000
1,546875	0,000000
1,562500	0,000000
1,562500	0,000000
1,578125	0,000000
1,578125	0,000000
1,593750	0,000000
1,593750	0,000000
1,609375	0,000000
1,625000	0,000000
1,640625	0,000000
1,640625	0,000000
1,656250	0,000000
1,656250	0,000000
1,671875	0,000000
1,687500	0,000000
1,703125	0,000000
1,703125	0,000000
1,718750	0,000000
1,718750	0,000000
1,734375	0,000000
1,734375	0,000000
1,750000	0,000000
1,765625	0,000000
1,781250	0,000000
1,781250	0,000000
1,796875	0,000000
1,796875	0,000000
1,812500	0,000000
1,812500	0,000000
1,843750	0,000000
1,843750	0,000000
1,859375	0,000000
1,859375	0,000000
1,875000	0,000000
1,875000	0,000000
1,890625	0,000000
1,906250	0,000000
1,921875	0,000000
1,921875	0,000000
1,937500	0,000000
1,937500	0,000000
1,953125	0,000000
1,953125	0,000000
1,968750	0,000000
1,984375	0,000000
2,000000	0,000000
2,000000	0,000000
2,015625	0,000000
2,015625	0,000000
2,031250	0,000000
2,046875	0,000000
2,062500	0,000000
2,062500	0,000000
2,078125	0,000000
2,078125	0,000000
2,093750	0,000000
2,093750	0,000000
2,109375	0,000000
2,125000	0,000000
2,140625	0,000000
2,140625	0,000000
2,156250	0,000000
2,156250	0,000000
2,171875	0,000000
2,187500	0,000000
2,203125	0,000000
2,203125	0,000000
2,218750	0,000000
2,218750	0,000000
2,234375	0,000000
2,234375	0,000000
2,250000	0,000000
2,265625	0,000000
2,281250	0,000000
2,281250	0,000000
2,296875	0,000000
2,296875	0,000000
2,312500	0,000000
2,328125	0,000000
2,328125	0,000000
2,343750	0,000000
2,359375	0,000000
2,359375	0,000000
2,375000	0,000000
2,375000	0,000000
2,390625	0,000000
2,406250	0,000000
2,421875	0,000000
2,421875	0,000000
2,437500	0,000000
2,437500	0,000000
2,453125	0,000000
2,453125	0,000000
2,468750	0,000000
2,484375	0,000000
2,500000	0,000000
2,500000	0,000000
2,515625	0,000000
2,515625	0,000000
2,531250	0,000000
2,546875	0,000000
2,562500	0,000000
2,562500	0,000000
2,578125	0,000000
2,578125	0,000000
2,593750	0,000000
2,593750	0,000000
2,609375	0,000000
2,625000	0,000000
2,640625	0,000000
2,640625	0,000000
2,656250	0,000000
2,656250	0,000000
2,671875	0,000000
2,687500	0,000000
2,703125	0,000000
2,703125	0,000000
2,718750	0,000000
2,718750	0,000000
2,734375	0,000000
2,734375	0,000000
2,750000	0,000000
2,765625	0,000000
2,781250	0,000000
2,781250	0,000000
2,796875	0,000000
2,796875	0,000000
2,812500	0,000000
2,828125	0,000000
2,828125	0,000000
2,843750	0,000000
2,859375	0,000000
2,859375	0,000000
2,875000	0,000000
2,875000	0,000000
2,890625	0,000000
2,906250	0,000000
2,921875	0,000000
2,921875	0,000000
2,937500	0,000000
2,937500	0,000000
2,953125	0,000000
2,968750	0,000000
2,984375	0,000000
2,984375	0,000000
3,000000	0,000000
3,000000	0,000000
3,015625	0,000000
3,015625	0,000000
3,031250	0,000000
3,031250	0,000000
3,062500	0,000000
3,062500	0,000000
3,078125	0,000000
3,078125	0,000000
3,093750	0,000000
3,109375	0,000000
3,109375	0,000000
3,125000	0,000000
3,140625	0,000000
3,140625	0,000000
3,156250	0,000000
3,156250	0,000000
3,171875	0,000000
3,187500	0,000000
3,203125	0,000000
3,203125	0,000000
3,218750	0,000000
3,218750	0,000000
3,234375	0,000000
3,234375	0,000000
